palabra,cantidad
con,2
dios,4
mismo,2
del,1
incluido,1
judaísmo,1
resurrección,1
estriba,1
las,3
como,3
enseñanzas,1
bodhisattva,1
cristianismo,1
ramas,1
hindúes,1
muerte,1
posterior,1
personas,1
manifestación,1
donde,1
rechazando,1
algunos,2
está,1
hijo,1
concepto,1
consideran,3
profetas,2
varias,1
asimismo,1
que,4
importancia,1
concepción,1
extensión,1
vida,1
redimió,1
los,2
incompatible,1
por,1
islam,1
dedicó,1
para,2
jesús,4
divinidad,2
tenzin,1
dalái,1
bienestar,1
baháís,1
gyatso,1
niega,1
género,1
más,1
sadhu,1
budistas,1
figura,1
baháí,1
una,1
creencia,1
avatar,1
encarnación,1
presente,1
conoce,1
tiempo,1
isa,1
mayoría,1
uno,1
importantes,1
humano,1
lama,1
considerado,1
decimocuarto,1
religiones,1
